Time,P8,P9,P10,P11,P12,P13,P14,P15
03/03 23:40:01,42,44,34,41,41,45,45,45
03/03 23:40:13,42,44,34,41,41,45,45,45
03/03 23:40:24,42,44,34,41,41,45,45,45
03/03 23:40:36,42,44,34,41,41,45,45,45
03/03 23:40:48,42,44,34,41,41,45,45,45
03/03 23:41:00,42,44,34,41,41,45,45,45
03/03 23:41:12,42,44,34,41,41,45,45,45
03/03 23:41:24,42,44,34,41,41,45,45,45
03/03 23:41:35,42,44,34,41,41,45,45,45
03/03 23:41:48,42,44,34,41,41,45,45,45
03/03 23:41:59,42,44,34,41,41,45,45,45
03/03 23:42:11,42,44,34,41,41,45,45,45
03/03 23:42:23,42,44,34,41,41,45,45,45
03/03 23:42:35,42,44,34,41,41,45,45,45
03/03 23:42:47,42,44,34,41,41,45,45,45
03/03 23:42:59,42,44,34,41,41,45,45,45
03/03 23:43:10,42,44,34,41,41,45,45,45
03/03 23:43:22,42,44,34,41,41,45,45,45
03/03 23:43:34,42,44,34,41,41,45,45,45
03/03 23:43:46,42,44,34,41,41,45,45,45
03/03 23:43:58,42,44,34,41,41,45,45,45
03/03 23:44:10,42,44,34,41,41,45,45,45
03/03 23:44:22,42,44,34,41,41,45,45,45
03/03 23:44:33,42,44,34,41,41,45,45,45
03/03 23:44:45,42,44,34,41,41,45,45,45
03/03 23:44:57,42,44,34,41,41,45,45,45
03/03 23:45:09,42,44,34,41,41,45,45,45
03/03 23:45:21,42,44,34,41,41,45,45,45
03/03 23:45:33,42,44,34,41,41,45,45,45
03/03 23:45:44,42,44,34,41,41,45,45,45
03/03 23:45:56,42,44,34,41,41,45,45,45
03/03 23:46:08,42,44,34,41,41,45,45,45
03/03 23:46:20,42,44,34,41,41,45,45,45
03/03 23:46:32,42,44,34,41,41,45,45,45
03/03 23:46:44,42,44,34,41,41,45,45,45
03/03 23:46:56,42,44,34,41,41,45,45,45
03/03 23:47:07,42,44,34,41,41,45,45,45
03/03 23:47:19,42,44,34,41,41,45,45,45
03/03 23:47:31,42,44,34,41,41,45,45,45
03/03 23:47:43,42,44,34,41,41,45,45,45
03/03 23:47:55,42,44,34,41,41,45,45,45
03/03 23:48:07,42,44,34,41,41,45,45,45
03/03 23:48:19,42,44,34,41,41,45,45,45
03/03 23:48:31,42,44,34,41,41,45,45,45
03/03 23:48:42,42,44,34,41,41,45,45,45
03/03 23:48:54,42,44,34,41,41,45,45,45
03/03 23:49:06,42,44,34,41,41,45,45,45
03/03 23:49:42,42,44,34,41,41,45,45,45
03/03 23:49:54,42,44,34,41,41,45,45,45
03/03 23:50:06,42,44,34,41,41,45,45,45
03/03 23:50:17,42,44,34,41,41,45,45,45
03/03 23:50:29,42,44,34,41,41,45,45,45
03/03 23:50:41,42,44,34,41,41,45,45,45
03/03 23:50:53,42,44,34,41,41,45,45,45
03/03 23:51:05,42,44,34,41,41,45,45,45
03/03 23:51:17,42,44,34,41,41,45,45,45
03/03 23:51:28,42,44,34,41,41,45,45,45
03/03 23:51:40,42,44,34,41,41,45,45,45
03/03 23:51:52,42,44,34,41,41,45,45,45
03/03 23:52:04,42,44,34,41,41,45,45,45
03/03 23:52:16,42,44,34,41,41,45,45,45
03/03 23:52:28,42,44,34,41,41,45,45,45
03/03 23:52:39,42,44,34,41,41,45,45,45
03/03 23:52:51,42,44,34,41,41,45,45,45
03/03 23:53:03,42,44,34,41,41,45,45,45
03/03 23:53:15,42,44,34,41,41,45,45,45
03/03 23:53:27,42,44,34,41,41,45,45,45
03/03 23:53:39,42,44,34,41,41,45,45,45
03/03 23:53:50,42,44,34,41,41,45,45,45
03/03 23:54:02,42,44,34,41,41,45,45,45
03/03 23:54:14,42,44,34,41,41,45,45,45
